目标客户编号,品牌类型,电池技术性能得分,舒适性得分,经济性得分,安全性表现得分,动力性表现得分,驾驶操控性表现得分,外观内饰得分,配置与质量品质得分,户口类型,居住时间,居住区域类型,驾龄,家庭成员数,婚姻类型,子女数,出生年,最高学历,工作年限,单位性质,职位类型,家庭年收入,个人年收入,家庭可支配收入,房贷占收入比,车贷占收入比,购买意愿
1557,1,76.34625632,77.80346762,70.44455435,74.08157516,72.97138394,67.19929117,82.16439024,73.66173617,1,20,2,7,3,5,1,1983,5,10,3,4,18,12,15,10,5,0
1558,1,65.76775385,61.66143393,66.69170125,59.70982599,63.41467769,58.30219113,64.37307026,58.87685662,2,26,2,3,1,1,,1994,6,1,6,8,15,15,12,0,0,0
1559,1,84.32025257,85.62934458,85.16608081,77.76704377,81.00281808,83.06086591,84.44443909,84.76955472,2,36,1,8,3,5,1,1984,5,13,3,2,26,18,18,25,10,0
1560,1,70.37547828,66.1156578,66.69170125,70.34436303,68.43027649,69.41128758,75.30019811,81.44178887,2,38,3,8,5,6,1,1980,5,14,4,3,20,13,14,15,7,0
1561,1,81.68806034,81.09094276,63.08379112,85.1897245,81.00281808,83.06086591,82.21341601,73.66173617,2,19,1,15,2,3,,1983,5,15,3,3,37,19,13,30,20,0
1562,1,72.09692941,73.38715591,74.05246448,70.34436303,69.73106376,71.95176946,73.20221184,74.43696203,1,25,2,5,1,1,,1995,6,3,4,8,37,12,19,0,25,0
1563,1,69.65230984,68.71456229,70.44455435,74.50344395,74.52217771,75.02696464,73.20221184,70.33397033,1,25,2,4,1,1,,1995,6,3,4,8,53,29,29,0,20,0
1564,1,73.2061543,74.14857428,74.05246448,74.08157516,76.52194118,77.77367433,77.77433233,81.09249372,2,19,2,10,5,6,1,1984,5,12,6,6,17,9,9,0,0,0
1565,1,70.63449419,71.51175763,81.55817068,77.76704377,72.74689909,66.66457788,77.59226975,70.33397033,2,22,2,11,5,6,1,1983,4,14,6,6,18,8,13,0,0,0
1566,1,69.65230984,74.51599249,77.80531758,70.34436303,74.68643201,69.73977306,66.66514189,66.65690932,1,20,2,8,3,5,1,1981,5,14,3,4,16,8,11,20,0,0
1567,1,72.62161406,73.65829449,59.33093802,81.45251238,65.12972575,69.53107295,75.71334905,71.10919618,1,10,1,5,4,4,,1992,5,5,4,8,36,12,16,30,15,0
1568,1,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,84.42025956,2,35,1,10,3,2,,1985,4,11,7,9,20,9,10,0,0,0
1569,1,62.2744415,62.17638735,66.69170125,54.65152043,63.18727625,58.30219113,66.66514189,66.65690932,2,22,1,3,1,1,,1997,5,3,8,10,30,10,20,0,17,0
1570,1,66.69459328,66.69011554,70.44455435,70.34436303,63.63916254,66.66457788,64.19100768,63.32914348,2,26,1,1,4,4,,1994,5,2,7,9,35,10,25,15,7,0
1571,1,79.33165888,86.52495475,77.80531758,77.76704377,75.98721927,76.91047557,80.06640397,81.44178887,2,24,1,2,4,4,,1995,5,5,4,5,15,8,10,30,10,0
1572,1,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,11,1,6,3,5,1,1994,5,3,7,9,15,10,12,13,6,0
1573,1,75.77781441,80.23324475,74.05246448,81.45251238,77.76249789,85.80757561,73.33524865,70.33397033,2,20,2,10,5,6,1,1981,6,15,6,6,20,10,10,0,0,0
1574,1,83.21102768,75.00627228,66.69170125,77.76704377,75.76273442,72.48648275,77.58024696,59.57245165,1,21,3,12,5,6,1,1982,4,14,4,6,21,11,12,0,0,0
1575,1,79.33165888,73.53620438,77.80531758,66.65889442,74.68643201,69.73977306,75.68836885,66.65690932,1,20,3,10,3,6,1,1984,6,8,5,3,20,12,16,10,0,0
1576,1,73.14562219,75.77902087,59.33093802,66.65889442,72.91115339,75.35545011,82.34645282,81.51842442,2,40,4,12,5,6,1,1978,4,15,4,2,26,15,13,25,6,0
1577,1,80.62326923,74.51599249,85.16608081,88.87519312,85.79393203,77.77367433,80.11542974,77.76472787,2,46,1,20,3,5,1,1974,6,23,4,2,35,30,25,25,15,0
1578,1,95.6167363,87.09941248,85.16608081,77.76704377,80.77833322,77.77367433,68.76312816,73.66173617,2,32,1,8,3,5,1,1988,6,8,5,2,33,28,28,10,7,0
1579,1,71.11474506,72.12412753,74.05246448,73.60796285,74.68643201,66.99306336,71.0551998,81.44178887,1,25,2,3,1,1,,1995,6,3,4,7,31,12,11,25,20,0
1580,1,73.14562219,74.79923276,66.69170125,74.50344395,69.89531806,75.02696464,79.93336716,66.65690932,1,25,3,4,1,1,,1995,6,1,2,8,33,18,9,25,25,0
1581,1,84.32025257,69.97759067,88.91893392,77.76704377,74.68643201,74.69847916,82.15236745,81.86771957,1,5,2,5,1,1,,1995,5,4,4,5,45,22,30,30,10,0
1582,3,72.40635542,77.80346762,70.44455435,74.08157516,72.74689909,75.02696464,64.57917841,70.75990103,2,20,3,8,3,5,1,1984,5,11,3,2,14,9,9,35,8,0
1583,3,75.56255577,75.20456314,74.05246448,81.45251238,66.65499787,66.66457788,82.21341601,70.75990103,2,29,2,7,4,5,2,1990,6,9,4,7,20,7,7,0,0,0
1584,3,83.75181066,79.47182639,85.16608081,84.7161122,84.55337532,88.88277078,86.7855365,77.76472787,1,18,1,12,4,5,2,1987,5,12,4,1,20,10,12,50,0,0
1585,3,90.75518315,87.17561323,81.55817068,85.1897245,87.56921065,94.70467565,93.27358067,93.32483328,1,20,2,20,3,5,1,1980,6,18,4,6,20,8,6,20,25,0
1586,3,81.68806034,80.99466312,85.16608081,88.87519312,82.24337479,72.48648275,73.34727143,74.43696203,2,15,1,6,2,3,,1984,6,13,4,7,26,14,7,25,25,0
1587,3,79.83956868,84.64955647,81.55817068,93.03427403,86.87023444,86.67077438,77.78635512,84.76955472,1,11,2,6,5,6,1,1994,6,6,3,8,13,10,10,28,15,0
1588,3,64.48942657,68.96831488,55.71640254,83.8206311,63.47490824,53.0102406,77.58024696,75.21218788,3,3,1,3,4,5,1,1992,6,6,2,5,20,15,16,25,10,0
1589,3,85.04342101,83.19956745,85.16608081,81.03064359,89.03425221,88.88277078,86.60347392,88.87254642,2,42,1,9,5,6,1,1977,6,20,4,1,30,16,14,25,0,0
1590,3,83.15049556,80.47857286,74.05246448,88.87519312,69.6708332,80.52038403,84.44443909,92.20031227,1,16,2,8,4,4,,1990,6,7,5,7,30,18,18,60,10,0
1591,3,69.8346953,75.3736905,63.08379112,66.65889442,71.50634238,66.66457788,75.48226069,67.00620448,2,31,1,8,5,6,1,1989,6,8,4,2,39,30,32,14,5,0
1592,3,66.51220782,68.71456229,59.33093802,62.97342581,61.80365337,60.84267301,62.09302141,62.55391762,1,21,2,8,5,6,1,1984,6,12,3,4,90,60,58,20,0,0
1593,3,77.80869155,70.95737878,59.33093802,73.18609406,71.28185752,74.69847916,64.37307026,70.75990103,1,5,1,3,3,7,,1973,6,23,5,2,40,28,35,0,0,0
1594,3,57.99511387,62.99731003,62.93884815,73.60796285,72.97138394,69.41128758,71.04317701,69.98467517,2,2,2,5,4,5,2,1982,4,14,5,2,40,35,24,30,20,0
1595,3,77.80869155,77.80346762,77.80531758,77.76704377,80.83856378,77.77367433,77.77433233,77.76472787,2,3,2,2,3,2,,2000,4,2,4,5,50,40,30,10,10,0
1596,3,71.68318697,68.81084193,66.69170125,71.23984413,62.11389042,75.02696464,73.38427443,73.66173617,2,18,2,7,4,6,1,1984,6,11,5,2,14,8,8,30,5,0
1597,3,91.69293371,91.59192495,85.31102379,96.29787385,84.32889046,97.24515753,88.8224742,99.98036497,2,8,1,5,3,5,1,1987,8,7,4,7,26,16,12,30,0,0
1598,3,87.21743701,84.09517762,74.05246448,85.6115933,75.76273442,83.5955792,77.71328377,85.19548542,1,8,2,6,3,2,,1992,6,5,5,5,20,10,18,60,8,0
1599,3,65.3868846,64.66566879,70.44455435,66.65889442,61.63939907,63.58938271,64.37307026,62.55391762,2,30,1,5,3,5,1,1989,5,7,5,7,22,13,16,10,5,0
1600,3,71.11474506,59.99307516,59.33093802,67.13250673,61.86388392,66.66457788,62.22605821,59.22615178,1,7,1,3,3,2,,1985,5,12,5,3,36,29,30,20,0,0
1601,3,81.48957655,85.62934458,85.16608081,77.76704377,82.7780967,83.06086591,82.16439024,88.87254642,2,40,1,15,4,5,2,1980,6,15,2,2,30,19,13,0,0,1
1602,3,73.38853977,71.51175763,74.05246448,78.18891256,72.74689909,69.41128758,79.8723186,69.98467517,1,5,2,10,4,5,2,1988,6,8,3,3,25,20,20,0,0,0
1603,3,85.78268779,86.39076294,85.16608081,77.76704377,87.09471929,88.88277078,77.77433233,85.54478058,2,38,1,11,5,6,1,1981,6,16,7,9,36,24,30,0,0,1
1604,3,80.94879357,78.17088584,77.80531758,85.1897245,85.79393203,74.69847916,79.93336716,73.66173617,2,26,1,3,2,3,,1992,6,7,3,5,16,11,11,30,0,0
1605,3,86.89191268,85.62934458,81.55817068,81.92612469,81.00281808,80.52038403,84.44443909,84.76955472,2,30,3,2,4,6,1,1990,5,8,3,5,18,10,8,35,5,0
1606,3,75.96019988,77.80346762,70.44455435,77.76704377,74.68643201,69.73977306,75.48226069,77.76472787,2,41,1,6,5,6,1,1979,6,17,5,4,28,19,20,0,0,0
1607,3,84.25972045,74.51599249,70.44455435,76.87156267,79.0030546,77.77367433,77.77433233,81.09249372,1,10,2,3,1,1,,1990,6,7,6,4,28,23,20,0,0,0
1608,3,93.9113835,93.33313142,96.27969715,96.29787385,89.94630033,97.24515753,89.07760813,88.52325126,2,25,1,20,3,5,1,1978,6,20,4,2,20,9,10,25,0,0
1609,3,77.80869155,83.81193735,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,1,5,5,6,1,1993,6,5,4,8,30,25,10,0,0,0
1610,3,56.68971991,55.57676345,55.57808492,55.55074507,55.54749785,55.55548143,55.55595146,55.54909078,2,35,1,15,3,5,1,1985,4,11,4,3,34,24,18,20,10,0
1611,3,61.6783136,59.2316568,66.69170125,62.4998135,61.63939907,66.66457788,68.75110538,58.87685662,2,5,2,5,3,5,1,1980,5,16,3,6,50,39,40,20,10,0
1612,3,66.1538103,68.56551382,74.05246448,63.3952946,63.47490824,67.19929117,64.70019243,62.55391762,1,12,2,10,3,5,1,1985,4,11,5,5,14,9,10,21,8,0
1613,3,85.04342101,78.93230421,74.05246448,81.45251238,82.7780967,78.10215981,77.78635512,81.44178887,1,27,2,5,3,5,1,1981,6,16,4,3,16,13,11,0,0,0
1614,3,79.83956868,77.80346762,85.16608081,77.76704377,77.76249789,83.5955792,77.77433233,77.76472787,2,31,1,6,3,5,1,1989,6,8,1,5,18,11,13,30,10,0
1615,3,85.24190481,71.60803727,70.44455435,69.92249424,75.82296497,77.77367433,66.66514189,62.55391762,1,12,2,11,3,5,1,1985,4,11,5,5,16,10,9,16,12,0
1616,3,71.59499593,65.46499932,55.57808492,74.50344395,71.61036612,77.77367433,81.97030487,77.76472787,2,45,1,20,4,5,2,1975,5,21,7,3,17,10,11,20,5,0
1617,3,84.37559749,87.89911943,81.41322771,85.1897245,62.33837528,75.56167793,82.16439024,69.90803963,2,15,3,6,3,5,1,1980,4,15,5,4,28,20,16,15,20,0
1618,3,87.81356492,86.89237296,85.16608081,89.77067421,85.62967773,86.13606108,84.49346486,84.76955472,2,35,3,9,5,6,2,1985,6,12,5,2,25,15,16,0,0,1
1619,3,71.29713052,71.51175763,63.08379112,74.50344395,76.52194118,71.95176946,71.23726238,66.65690932,1,12,1,5,3,2,,1993,8,4,3,8,35,10,25,31,0,0
1620,3,85.04342101,85.62934458,74.19740745,85.6115933,85.85416258,86.13606108,84.31140228,84.76955472,2,24,1,3,5,6,1,1981,3,13,4,2,35,20,26,20,15,0
1621,3,69.44863886,82.21977934,66.69170125,78.24065607,68.43027649,79.98567074,88.88352277,81.86771957,2,29,2,8,3,5,1,1991,6,7,4,4,42,22,35,0,0,0
1622,3,85.04342101,81.45836097,77.80531758,81.45251238,77.76249789,80.52038403,86.7855365,81.86771957,1,7,2,10,4,5,2,1988,6,8,3,3,50,35,30,0,0,0
1623,3,72.22396995,77.80346762,81.55817068,84.7161122,77.59824359,72.48648275,80.06640397,78.53995373,2,31,1,10,5,6,1,1989,6,8,4,4,40,15,12,30,26,0
1624,3,71.29713052,74.11066211,66.54338037,67.08076321,81.00281808,82.73238044,73.33524865,84.76955472,2,25,1,15,3,5,1,1983,6,14,5,4,40,19,11,20,30,0
1625,3,64.30531863,70.58996057,74.05246448,62.4998135,74.52217771,83.38935139,80.05438118,81.51842442,2,36,1,10,3,5,1,1983,6,14,2,3,47,29,16,20,25,0
1626,3,66.18485551,62.42285229,55.57808492,58.81434489,60.3386118,66.66457788,68.76312816,70.75990103,2,51,1,17,5,6,1,1968,5,30,3,2,43,38,34,7,0,0
1627,3,61.70599959,70.38292105,66.69170125,66.65889442,66.65499787,66.66457788,71.10422558,66.65690932,2,15,1,2,4,4,,1994,6,5,1,4,60,30,46,15,15,0
1628,3,66.69459328,77.80346762,70.29961138,77.76704377,75.98721927,77.77367433,77.77433233,74.43696203,2,27,1,3,3,5,1,1993,6,4,6,8,18,8,12,25,10,0
1629,3,70.57396208,72.49154574,74.05246448,70.81797534,66.81925217,71.95176946,73.38427443,73.66173617,1,11,2,12,3,5,1,1985,5,12,3,5,15,9,10,21,21,0
1630,3,86.74877381,80.84599107,88.77399094,92.56066173,82.942351,79.98567074,79.81127004,85.54478058,2,4,3,2,4,5,2,1989,3,7,7,9,21,15,8,30,20,0
1631,3,77.62630608,75.09045022,77.80531758,77.76704377,80.77833322,75.23319245,73.20221184,74.43696203,1,20,3,11,5,6,1,1989,6,10,5,5,20,11,10,0,0,0
1632,3,69.65230984,66.69011554,70.44455435,69.92249424,72.74689909,66.66457788,66.66514189,66.65690932,1,10,1,6,3,5,1,1991,5,6,6,7,35,25,27,10,6,0
1633,3,84.32025257,86.52495475,81.55817068,85.6115933,85.79393203,86.13606108,86.59145113,85.54478058,2,29,1,7,3,5,1,1990,5,7,5,7,40,18,30,14,6,1
1634,3,89.13804846,86.6011555,92.52684404,89.29706191,90.80953083,78.30838762,86.40938855,76.98950202,1,15,1,8,3,5,1,1989,5,8,5,2,40,18,30,12,9,1
1635,3,87.21743701,87.65379133,92.67178702,85.6115933,85.62967773,80.52038403,84.49346486,84.76955472,2,10,1,8,5,6,1,1980,6,18,5,2,60,24,20,15,25,0
1636,3,84.50263803,80.80770249,66.69170125,74.50344395,77.59824359,72.48648275,86.59145113,78.53995373,2,5,3,10,4,6,1,1990,6,10,5,5,15,10,9,0,0,0
1637,3,69.11152686,74.14857428,74.05246448,74.50344395,72.74689909,77.77367433,75.48226069,67.00620448,2,32,2,8,6,6,1,1988,4,12,6,6,18,12,8,30,0,0
1638,3,90.83181359,86.33799411,85.31102379,77.76704377,83.91462966,77.77367433,73.33524865,93.32483328,2,25,1,18,3,5,1,1980,5,16,4,5,16,10,10,20,10,0
1639,3,88.92278981,99.0301718,88.91893392,99.98334246,93.88559672,99.99186723,99.9927132,99.98036497,2,35,2,10,5,6,1,1984,5,12,4,2,30,11,10,18,33,0
1640,3,67.41776173,70.38292105,66.69170125,81.03064359,77.53801304,66.66457788,75.49428348,70.75990103,1,12,2,11,3,5,1,1985,6,12,5,5,16,11,11,19,19,0
1641,3,87.07429814,83.23747961,85.16608081,81.45251238,85.62967773,83.06086591,82.15236745,77.76472787,1,20,1,6,3,5,1,1990,6,7,3,2,20,15,10,28,8,0
1642,3,67.80381817,77.80346762,77.80531758,77.76704377,77.76249789,72.48648275,77.77433233,77.76472787,2,25,2,6,3,2,,1995,6,3,4,8,35,18,15,30,15,0
1643,3,67.80381817,70.95737878,70.44455435,66.65889442,69.73106376,69.41128758,71.23726238,69.98467517,2,35,1,7,3,5,1,1985,6,12,4,2,30,15,20,21,5,0
1644,3,63.6131954,56.74237536,55.57808492,55.55074507,55.54749785,52.47751831,55.55595146,52.21832964,2,10,2,3,3,5,1,1979,5,15,4,4,50,10,20,20,25,0
1645,3,83.93419612,84.64955647,81.55817068,84.7161122,84.01865341,80.52038403,84.49346486,84.76955472,2,20,2,6,3,5,1,1984,6,11,1,4,18,5,14,20,25,0
1646,3,73.2061543,79.5446741,77.80531758,74.08157516,69.73106376,80.84886951,75.49428348,70.75990103,1,17,2,7,5,6,1,1987,4,11,5,6,17,13,10,25,0,0
1647,3,73.38853977,75.77902087,74.05246448,77.76704377,77.76249789,75.02696464,75.67634606,74.43696203,2,30,1,8,3,2,,1990,6,7,8,10,16,10,9,22,8,0
1648,3,70.25179696,86.0817122,85.02113784,88.87519312,82.7780967,80.84886951,86.59145113,88.52325126,2,14,2,12,5,6,1,1981,4,17,8,10,20,12,13,15,8,0
1649,3,82.79728523,81.36208133,74.05246448,81.45251238,84.01865341,86.13606108,82.15236745,74.43696203,2,31,2,6,3,5,1,1988,5,7,6,2,25,15,20,0,0,0
1650,3,76.10333875,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,1,5,3,5,1,1990,6,6,4,4,30,20,22,50,10,0
1651,3,98.18839641,91.71401505,85.16608081,81.45251238,84.01865341,86.67077438,80.06640397,85.19548542,1,14,3,10,2,3,,1991,5,8,7,9,30,12,20,19,6,1
1652,3,68.72547041,72.77478601,70.29961138,66.65889442,66.65499787,71.95176946,71.04317701,66.65690932,2,25,2,5,4,6,1,1994,6,3,3,8,30,8,15,0,0,0
1653,3,76.94238423,80.99466312,88.91893392,85.6115933,82.55361184,86.13606108,84.31140228,81.09249372,1,10,1,5,3,5,1,1985,5,13,7,3,30,20,20,20,5,0
1654,3,84.50263803,77.04204926,81.41322771,81.03064359,71.50634238,80.52038403,84.2993795,85.19548542,2,40,2,15,4,5,2,1980,5,17,6,2,60,30,40,10,10,0
1655,3,79.45351223,86.31791523,62.93884815,88.87519312,68.43027649,88.88277078,91.16357162,81.86771957,1,10,2,7,3,5,1,1990,4,7,4,7,52,28,36,0,10,0
1656,3,73.53167864,81.09094276,85.16608081,85.1897245,80.83856378,80.52038403,84.44443909,81.44178887,2,38,1,15,5,6,1,1981,6,15,7,9,40,35,22,0,0,0
1657,3,74.66858952,77.80346762,63.08379112,77.76704377,82.30360534,77.77367433,86.60347392,88.87254642,2,20,1,10,4,4,,1983,6,12,7,9,60,55,40,20,20,0
1658,3,70.57396208,68.67665012,70.44455435,66.65889442,71.67059668,71.95176946,73.38427443,70.33397033,2,10,1,5,4,6,1,1982,6,15,4,1,60,18,50,0,0,0
1659,3,82.79728523,80.23324475,77.80531758,74.50344395,74.68643201,85.80757561,80.05438118,81.09249372,1,5,3,7,4,4,,1993,5,6,4,8,40,20,20,40,8,0
1660,3,79.83956868,74.51599249,70.44455435,77.76704377,77.98698275,80.84886951,75.6152975,73.66173617,2,45,2,15,4,5,2,1975,8,22,3,2,60,50,46,0,0,0
1661,3,78.54795832,73.53620438,70.44455435,70.81797534,74.52217771,71.95176946,77.76230954,78.11402303,2,40,1,15,4,5,2,1980,4,16,3,2,50,45,46,0,0,0
1662,3,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,83.26709373,77.77433233,77.76472787,1,12,1,10,6,6,2,1987,6,11,4,1,60,50,50,10,0,0
1663,3,76.88703931,75.12836239,88.91893392,84.7161122,82.6138424,80.52038403,84.49346486,77.33879717,2,41,2,20,4,5,2,1978,5,19,7,9,40,30,24,0,0,0
1664,3,85.55133081,85.15116648,81.55817068,85.1897245,77.82272845,85.80757561,86.60347392,88.87254642,1,15,1,10,3,5,1,1985,8,11,3,1,65,34,45,30,10,0
1665,3,77.62630608,80.47857286,85.31102379,81.92612469,85.79393203,89.21125626,84.62650167,74.43696203,1,23,2,5,5,6,1,1982,5,16,5,2,68,27,17,15,26,0
1666,3,89.90497416,81.09094276,85.16608081,81.92612469,80.83856378,77.77367433,82.16439024,81.86771957,2,10,2,8,5,6,1,1981,5,14,5,2,55,22,15,20,30,0
1667,3,80.7664081,83.52071989,85.16608081,88.45332432,82.6138424,86.13606108,82.16439024,88.44661572,2,10,1,8,5,6,1,1984,3,16,5,1,55,22,19,20,33,0
1668,3,81.68806034,85.91258485,85.16608081,81.03064359,82.7780967,86.13606108,82.16439024,81.86771957,2,10,1,8,5,6,1,1982,6,13,5,2,66,38,23,25,20,0
1669,3,69.44863886,67.95314392,62.93884815,77.76704377,75.98721927,77.77367433,80.06640397,81.44178887,2,29,2,8,1,1,,1991,6,8,7,9,25,15,15,20,7,0
1670,3,84.31506538,82.21977934,77.80531758,81.45251238,74.68643201,74.69847916,80.05438118,84.76955472,1,15,2,5,3,5,1,1986,6,10,3,4,20,15,15,0,12,0
1671,3,57.22867492,64.94890906,66.69170125,58.81434489,59.0350558,75.02696464,62.01788699,70.33397033,2,20,2,18,4,5,2,1980,5,19,4,6,40,21,21,0,15,0
1672,3,85.36894535,82.07073087,81.55817068,85.1897245,80.83856378,80.84886951,86.60347392,80.66656302,2,5,1,8,3,5,1,1990,6,6,4,4,20,12,14,20,0,0
1673,3,83.39341314,78.93230421,66.69170125,81.03064359,71.44611182,69.41128758,82.15236745,85.19548542,2,32,1,6,3,5,1,1987,6,8,3,4,22,15,15,15,0,0
1674,3,96.15751928,95.57594792,85.16608081,93.03427403,95.12615343,94.70467565,88.94457133,89.64777228,2,10,2,6,3,5,1,1989,6,7,3,3,28,8,14,0,25,1
1675,3,96.48304361,98.00572505,85.16608081,93.03427403,87.56921065,86.13606108,84.49346486,88.87254642,2,10,1,12,5,6,1,1985,6,8,3,7,30,16,20,0,0,1
1676,3,80.57883545,79.82791437,85.16608081,81.03064359,77.76249789,86.13606108,77.77433233,81.44178887,2,28,1,7,3,2,,1992,5,6,4,4,15,9,10,15,10,1
1677,3,77.80869155,84.46259583,77.80531758,77.76704377,77.76249789,85.80757561,80.05438118,81.44178887,1,14,1,7,4,2,,1991,6,7,8,10,18,10,12,10,10,0
1678,3,83.21102768,84.46259583,77.80531758,81.92612469,77.76249789,77.77367433,82.15236745,77.76472787,1,12,1,5,3,2,,1993,6,5,7,9,16,10,9,22,10,0
1679,3,82.65414637,67.95314392,62.93884815,66.65889442,66.65499787,66.66457788,75.48226069,77.76472787,2,40,1,20,3,5,1,1980,6,17,6,2,30,25,25,10,0,0
1680,3,81.17496336,88.91681971,81.55817068,81.92612469,79.53777651,77.77367433,84.44443909,82.21701473,1,6,2,4,1,1,,1990,5,6,3,5,50,45,46,10,10,1
1681,3,69.26625339,66.69011554,66.69170125,66.65889442,71.44611182,66.66457788,68.76312816,66.65690932,1,6,2,4,1,1,,1990,6,6,3,5,50,40,40,10,10,0
1682,3,74.97801553,74.51599249,77.66037461,78.18891256,74.62620145,78.10215981,71.23726238,75.21218788,2,3,4,4,5,6,2,1986,6,11,3,8,15,8,9,30,10,0
1683,3,72.27931487,76.54043924,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,5,3,5,4,5,2,1991,4,6,2,4,15,10,10,25,10,0
1684,3,88.95047581,82.58719755,77.80531758,91.66518063,87.46518691,94.49844784,86.53040257,84.42025956,2,28,1,4,3,5,1,1992,6,4,4,8,24,10,9,40,10,0
1685,3,77.80869155,77.80346762,77.80531758,77.76704377,80.83856378,77.77367433,77.77433233,77.76472787,2,40,1,15,3,5,1,1980,5,17,7,9,30,20,26,0,0,0
1686,3,55.58049501,55.57676345,55.57808492,55.55074507,58.62356374,55.55548143,57.65393773,48.11164488,1,5,4,5,2,3,,1993,4,5,4,7,20,12,10,30,20,0
1687,3,72.40635542,74.51599249,77.80531758,74.50344395,79.70203081,86.13606108,91.16357162,85.54478058,2,29,1,8,4,2,,1992,6,5,5,2,20,14,10,50,5,0
1688,3,56.50114885,51.15647666,48.06900081,44.43259739,50.52738456,55.55548143,57.65393773,70.41060587,1,13,1,6,1,1,,1992,5,6,3,4,20,10,12,28,0,0
1689,3,77.80869155,81.97445123,88.91893392,81.92612469,73.0316145,75.56167793,77.72530655,77.33879717,1,15,1,5,4,6,1,1982,6,15,4,1,60,18,50,0,0,0
1690,3,80.7664081,76.54043924,74.19740745,77.76704377,84.07888396,88.88277078,84.44443909,88.87254642,2,20,1,15,3,5,1,1976,6,20,4,7,20,14,14,0,0,0
1691,3,83.21102768,85.62934458,85.16608081,81.45251238,85.85416258,83.5955792,84.49346486,81.44178887,1,11,2,5,3,2,,1994,6,4,4,7,29,12,23,18,6,0
1692,3,82.95201177,85.11325432,92.52684404,99.98334246,81.31305513,77.77367433,91.11454584,92.62624297,2,10,3,3,3,5,1,1987,6,8,1,5,10,5,8,10,6,0
1693,3,79.65718321,79.82791437,77.80531758,81.03064359,77.82272845,77.77367433,80.05438118,81.44178887,2,27,1,3,3,5,1,1993,6,3,4,8,39,11,24,18,5,0
1694,3,70.57396208,65.62355583,63.08379112,73.60796285,69.79129431,69.94600087,71.17621382,69.20944931,2,32,1,12,3,5,1,1988,6,10,2,2,30,18,15,0,0,0
1695,3,66.69459328,75.03245917,55.57808492,74.50344395,74.68643201,69.73977306,64.31202169,66.65690932,1,8,1,3,5,6,1,1989,5,8,4,7,35,13,6,20,26,0
1696,3,67.41776173,62.42285229,62.93884815,66.65889442,60.3386118,71.95176946,59.93398658,66.65690932,2,10,2,3,4,5,2,1985,5,12,4,7,30,20,8,30,20,0
1697,3,68.54308495,72.49154574,62.93884815,55.55074507,57.32277647,55.55548143,64.56715562,62.55391762,2,12,2,2,2,3,,1994,6,6,1,8,50,20,30,20,15,0
1698,1,88.92278981,88.91681971,74.05246448,85.6115933,88.64551306,86.13606108,86.54242535,88.52325126,2,35,1,5,3,5,1,1985,6,12,5,2,25,15,10,0,0,0
1699,1,77.61020775,74.33553491,62.93884815,82.39973699,74.68643201,96.91667206,82.20139323,74.43696203,2,5,2,8,3,5,1,1990,6,7,6,4,20,6,9,20,0,0
1700,1,73.68640517,73.34924375,77.80531758,78.66252487,85.85416258,69.41128758,71.22523959,78.19065857,1,7,1,6,3,2,,1988,4,8,4,6,23,8,20,13,10,0
1701,1,44.45639306,44.45340835,44.45446533,44.43259739,49.28571123,47.51434892,44.43676175,41.10350835,2,9,1,15,6,6,2,1970,6,26,6,6,22,5,10,35,5,0
1702,1,83.93419612,78.78325574,74.19740745,77.76704377,74.52217771,71.95176946,73.38427443,76.98950202,2,35,3,10,4,5,2,1985,6,12,2,2,20,12,15,0,0,0
1703,1,77.80869155,72.08621536,74.05246448,74.50344395,74.52217771,69.41128758,75.67634606,73.66173617,1,5,1,8,2,3,,1993,4,3,4,8,20,10,10,50,0,0
1704,1,79.83956868,80.80770249,85.16608081,88.87519312,85.62967773,88.55428531,80.05438118,89.22184158,2,10,1,8,3,5,1,1990,6,8,5,2,30,10,12,20,25,0
1705,1,92.47663427,84.46259583,77.80531758,77.76704377,77.59824359,72.28025494,79.90932159,75.21218788,1,12,1,6,5,6,1,1988,6,8,6,4,38,14,15,20,10,0
1706,1,37.04094194,43.40194575,37.0937021,40.69870252,52.528948,47.51434892,57.65393773,55.54909078,1,13,2,3,3,5,1,1992,6,2,5,4,36,20,30,14,0,0
1707,1,66.69459328,66.69011554,66.69170125,66.65889442,66.65499787,74.69847916,77.77433233,74.08766687,1,7,1,10,3,2,,1989,6,8,4,2,22,15,10,30,10,0
1708,1,86.89191268,84.64955647,85.16608081,88.45332432,80.77833322,83.06086591,80.06640397,77.33879717,1,12,1,8,3,2,,1988,6,8,4,5,20,10,6,25,20,0
1709,1,80.38035166,69.84339887,62.93884815,86.5070744,66.65499787,91.09476719,86.57942835,59.22615178,1,30,2,8,3,5,1,1990,6,7,6,3,26,16,9,20,20,0
